from_id,to_id,fraction
2025,2024,0.7686800739128512
2025,2026,0.6063048435273051
2030,2026,0.17990135573363503
2025,2028,1.1175065070414483
2030,2028,0.33158391822885314
2030,2030,1
2035,2035,1
2040,2040,1
2045,2045,1
2050,2050,1
