geography,total_electricity
G4804630,176129592.87424564
G3100010,247779310.0607465
G2200170,2602872784.520516
G4601370,12586506.11810205
G5300030,126434648.53772125
G3600370,339855014.702308
G4701370,42720814.44625305
G5101630,167496159.10879883
G1200050,1961657213.6418414
G4701230,412361100.8249555
G2001270,56895119.56731468
G1901770,47081083.27209336
G2801470,121876000.69440301
G2101270,121984805.28017083
G1801330,215683385.1528181
G0900110,1679415499.5210009
G1700230,99222614.36542687
G1800350,733042723.8743944
G0100130,167866906.72630158
G1600470,103916047.24186523
G4800390,2363977780.209357
G5105150,20074010.647123527
G3000270,123864755.10955158
G5106850,70572631.07720876
G4200770,2886608725.609729
G1701790,924140092.299686
G4800050,622546769.2423207
G1300690,338872969.3591666
G1200030,334808725.19981754
G4200810,845552676.0593586
G3400310,2245039870.650572
G0800570,5550977.105886092
G1200370,115949929.4989569
G0800690,1785773792.3076828
G0600970,2863015712.128174
G3700970,1367811027.492828
G3000810,286183138.9351219
G2600710,70865689.29589936
G3400330,384052728.33499455
G4600230,69012018.76880638
G4500110,177398283.16504136
G1900570,261047606.86122116
G3400270,3240616614.9814057
G3900990,1542333337.7168403
G2901390,144053820.12950048
G3700130,303346091.80255437
G3500280,77701215.33832489
G3800710,95120639.92697218
G2701570,109721150.26025206
G0800730,19487032.827039897
G2000130,69573080.89232236
G1302790,236617237.01496404
G0801130,54232138.62687532
G4201090,303995180.6621028
G3000790,4608852.298073582
G4801190,38197882.68364501
G1900350,98095542.65855534
G2400110,231948536.92740422
G2300150,198212735.18944097
G4701750,32220386.640365288
G4804430,12713701.091640841
G4804210,14559247.63392737
G3000450,20199086.605191816
G3701750,271867238.0838454
G0100310,397177377.96244943
G1901530,3470120705.3922625
G4801030,33399185.181429267
G4801230,163866886.06711844
G4700570,151996248.42485285
G4601050,21537256.318119965
G2300130,210777307.94185442
G2701310,322791353.29536915
G1600590,60698586.88276
G4900250,53897856.89679376
G4803210,280839322.3423501
G4701030,238668131.6363378
G0400210,2423352019.7098475
G4801830,1093247913.5730782
G4801070,49630899.746383056
G2100770,56990345.27814928
G2000930,14318087.098249381
G3800310,29741494.231000446
G3800510,28862654.950997658
G2000730,50127229.17120168
G3100730,21403375.34927271
G4100510,5529404229.493309
G4801670,2667303832.5524898
G3701270,710856173.791784
G1200850,1271320716.713549
G5400290,178846088.9323933
G4600930,116255946.31647876
G5100450,44518807.182656854
G4800130,357494406.096121
G3500530,82560847.27533647
G4802030,478793786.6332656
G2102390,190191788.33890265
G0200900,126657415.4884765
G4000670,66635964.96067929
G0101030,989493079.5397046
G0600990,3441978591.388629
G4803730,364641752.66082704
G0100370,105606050.82428287
G0500990,74925858.89624542
G5400170,36856804.342750676
G1302710,143004033.3648173
G2801010,141901074.21699253
G5400630,100573681.78295611
G4601010,46710286.66033935
G4601170,20485800.306805763
G4900510,102386945.2304126
G4500090,102340640.86963779
G3500250,365880812.499046
G5500170,366849637.05264884
G3900710,306611157.7336406
G2600250,768503786.0687833
G0501070,209447144.58735514
G1303130,725219818.2539753
G4600810,158875286.79556096
G2600410,209173914.8903565
G3901170,171394099.68541178
G4802710,12950424.937555403
G2001730,4200462611.704893
G4700590,565959306.0137264
G3800870,4285817.590987314
G3600930,906907604.0241683
G3701030,62015794.519746765
G3800610,42244953.83645873
G2100690,88355397.3902663
G1100010,6625955188.936114
G3601130,559223413.762348
G1901290,85164067.2492412
G4701430,216865458.8217554
G1901490,163721921.83927888
G1800810,966635124.9015157
G3000590,11214913.56612912
G2800430,146068416.82520553
G3701690,342460591.6543919
G4700470,264109717.63916692
G4802190,139586557.16405812
G2700830,157904276.45328102
G0202400,5782969.719760064
G4001210,379054962.04985166
G1201170,3555165499.4303446
G3600650,1368784194.3054671
G2700710,120924203.25410503
G2101150,155651728.78087986
G2300270,173736795.71056372
G2001470,33935321.036730126
G2000470,22090155.365675464
G2102330,85642342.59298927
G5500350,720397098.2155235
G0600810,3249011376.977851
G3700950,49392912.57779883
G4801090,21799224.11271958
G1200390,345225620.23252535
G5100930,226077644.81136644
G4500190,3781990453.465466
G1800490,119775821.73535727
G4800470,75786290.83647564
G2800670,499707620.1911795
G2901070,224847215.34552157
G3900410,1148565784.701843
G4000510,422276201.0479251
G1700690,28383149.612485245
G1300890,5265432567.191181
G3600090,480107178.52710783
G2001710,25714941.24004423
G3900150,303735811.6096688
G1300510,2715064395.0746717
G3700410,128498336.28026639
G2901430,146980720.26616892
G2000150,361397250.07615757
G3700370,487815685.6447705
G4802230,262178220.57107013
G1301310,150601384.87978002
G3000850,54148393.32472704
G2900750,39846210.58493651
G2700110,62419749.74766232
G3701870,79383952.46731578
G5300710,457033461.74615765
G3001110,954938762.8713574
G2400150,709117449.4616406
G5105700,194755210.12099314
G2700990,210023127.34977093
G5000050,128546130.01646592
G0500610,106865719.46280372
G2701330,37672221.95856254
G4600170,5833458.2993555395
G3100850,8085315.418334976
G4100670,2901800302.0801687
G2600750,872207046.3942107
G5300650,336022731.3709833
G0501150,482801000.9783448
G4802010,37695278128.19236
G2001550,445853856.0975495
G2700070,314385030.7559716
G5100590,8491631270.149174
G0800390,125176233.31528993
G1600770,33021533.25139438
G3300170,566980932.8441737
G1600650,186393276.04761934
G0600570,541879850.404657
G4100050,2289134953.0079823
G5500910,30376945.214090675
G3100510,34230028.42216983
G2900150,233768848.8168298
G2300110,723082617.697474
G4200270,910111438.4067022
G2900070,168123650.74827287
G1901870,238734117.04220673
G2100710,279692054.34297764
G1200630,359366549.19455814
G3101410,226538148.55836278
G3901070,251382448.50839671
G1700070,235976546.02275747
G4701150,185845233.79618332
G2700790,144351372.22421822
G4500690,214266771.1027013
G1801050,976193057.224088
G4500590,515585132.0449785
G4900370,51620231.39937063
G1800050,574308146.1992104
G1302870,88764612.5162696
G0800070,82201119.58298865
G4800750,43381261.089395
G2200690,274906322.81140715
G5600250,454644821.51925397
G1200530,1440305576.0331774
G2901350,102294800.88599645
G3000370,3801156.66535499
G1801570,1042695787.459008
G1700990,564635641.9888935
G4801930,67288832.04917596
G2000270,73600258.18523352
G2201090,746898852.7512574
G1201030,9213749289.315525
G2000110,99854754.0186385
G2900930,67619800.49803951
G5101350,163397443.64661503
G4701010,75820018.53365806
G3000870,67902823.31174625
G0800230,20149300.47347256
G3700870,494076831.99550515
G5500970,354513317.1999831
G5400390,2031075905.0993109
G1901170,67119991.34307113
G2400170,1208301525.7935925
G2100170,187479025.70125806
G5107000,1512041020.3012173
G0800290,142918619.69069874
G5500150,235102624.30227464
G1200130,120347479.91575602
G4803710,90780692.18885155
G3200030,16598112931.029411
G3500590,30033619.976404957
G4200730,637720783.0725663
G1302530,77845171.71194097
G5300410,655216125.197043
G0600290,4992912996.257757
G2200770,168994804.65224934
G1200670,57406546.32424994
G5101670,243337384.94557548
G1800870,145608719.32292908
G3101290,47265410.18997541
G1600230,16203789.068837864
G1900530,50828064.30755258
G5500070,107717638.2204702
G1900590,183995022.88339335
G4001270,94435400.69476949
G1600210,120088367.38437147
G2801430,372783713.1673037
G4804470,14794991.62113278
G3800930,192126496.49616975
G5600170,20261316.846986577
G1800690,220818285.22215292
G2900470,2005067307.5515628
G2700510,36247017.690883726
G2701230,3077090322.1086254
G1301210,9770305678.853989
G2700650,79365942.48342025
G1200170,1178829962.8111327
G2901750,227432999.68977797
G1301010,35061225.0514579
G1701010,71963517.25694564
G1700790,61856277.10727232
G0500410,110441207.01056138
G2800630,52805638.26356284
G1300370,35761985.55453971
G2000290,59820930.71763805
G0100790,255161780.9039179
G1701230,57864377.95620497
G5100290,98910179.05962345
G0400270,1513392315.6641712
G3000410,73847666.23285446
G0500430,122075445.9355075
G2101450,604700562.6469688
G3701810,325954322.73903424
G2800490,2396992268.7869663
G0100430,695350606.0165277
G2101210,233547490.9320666
G0601090,336328622.9409046
G0500590,232312121.25315654
G1300190,117776495.08691864
G1800390,1067926423.7515798
G3901750,113307104.23647662
G3700550,444787419.88492507
G4700130,308265490.9202097
G2900090,241509781.45491838
G2101510,638506870.1437047
G2701410,434832738.9295707
G2701530,127657298.59322673
G2902050,43476603.75199492
G1900270,111099134.90873578
G0800930,103586063.49674651
G4700550,205782387.80990773
G4500770,871269645.8258226
G4200830,215773968.65943068
G1302410,167049521.03980926
G4000690,73754453.46907943
G4100370,71803793.36675268
G4000450,30381813.49365569
G1900070,92006582.5124294
G0100930,245738433.9705656
G2400130,1298332443.3405886
G1801650,107604820.18548667
G2901710,22231263.404434163
G5101370,239295664.65756378
G4800950,18615458.410953477
G4802950,16667723.13471069
G1302830,69211955.6999976
G4802050,27679698.511096235
G1300070,32317547.99128282
G4700510,339883544.62819326
G5600430,50552413.06573706
G4802130,670025356.4723763
