from_id,to_id,from_fraction
AL,01001,0.007827378160724917
AL,01003,0.016808321925781213
AL,01005,0.004769413835185185
AL,01007,0.00012570713805957456
AL,01009,0.002077947018455402
AL,01011,0.0015600539681865642
AL,01013,0.001617985549140074
AL,01015,0.0191402903080926
AL,01017,0.0013155245622656004
AL,01019,0.010295654935496038
AL,01021,0.0013098083586762775
AL,01023,0.01165722324114203
AL,01025,0.020997251131054377
AL,01027,0.0032777628402470326
AL,01029,0.0004651856023124968
AL,01031,0.006257077828953059
AL,01033,0.024247131037085777
AL,01035,0.0024762824316274497
AL,01037,0.0004202572941277018
AL,01039,0.01832053591597663
AL,01041,0.00021069293929978575
AL,01043,0.013482435866733243
AL,01045,0.002114067236478465
AL,01047,0.015257104820222068
AL,01049,0.012384998953516432
AL,01051,0.004023880573069739
AL,01053,0.019546810298815834
AL,01055,0.014581846767663777
AL,01057,0.0019588474919125763
AL,01059,0.003554905461235839
AL,01061,0.0011786654010626134
AL,01063,0.00012860423321166744
AL,01065,0.0051328687492630445
AL,01067,0.0002953709705379972
AL,01069,0.02033463841415517
AL,01071,0.025980956518354758
AL,01073,0.11761348107599236
AL,01075,0.0011147102345981182
AL,01077,0.006352156709379443
AL,01079,0.0007195877216771692
AL,01081,0.011538739034329797
AL,01083,0.025301377006712693
AL,01085,0.012140784312787048
AL,01087,0.0002625306727527215
AL,01089,0.03673034182735846
AL,01091,0.018004627052828466
AL,01093,0.007066628668799855
AL,01095,0.023269485763251316
AL,01097,0.11595757231768518
AL,01099,0.0037329098021938313
AL,01101,0.027733895164662084
AL,01103,0.0690999318604687
AL,01105,0.001161609481168919
AL,01107,0.0015722800713068624
AL,01109,0.009126802478515751
AL,01111,0.004299986391314715
AL,01113,0.008766545533926562
AL,01115,0.012542026341758172
AL,01117,0.011917603836612575
AL,01119,0.00013114974893761418
AL,01121,0.01527386670884003
AL,01123,0.001899427549149398
AL,01125,0.05714596430491823
AL,01127,0.004337988875142853
